data:text/csv;charset=utf-8,Query: select oh.order_no,ysl.ORDER_HEADER_KEY,ysl.SHIPMENT_KEY,ys.SHIPNODE_KEY,ys.STATUS,ys.STATUS_DATE,ys.DELIVERY_METHOD,ys.ORDER_TYPE,ys.EXTN_SHORT,ys.ASSIGNED_TO_USER_ID from yfs_shipment_line ysl,yfs_shipment ys,yfs_order_header OH where ysl.SHIPMENT_KEY=ys.SHIPMENT_KEY and oh.order_header_key=ysl.order_header_key and OH.order_header_key &gt;
RN,ORDER_NO,ORDER_HEADER_KEY,SHIPMENT_KEY,SHIPNODE_KEY,STATUS,STATUS_DATE,DELIVERY_METHOD,ORDER_TYPE,EXTN_SHORT,ASSIGNED_TO_USER_ID,
1,CO11406179,'202301010003382700887580,'202301010004592700890202,COCV_549,9000,2023-01-01 00:05:59.0,SHP,SHP,BO,acosta.ismael_m,
2,CO11406228,'202301010026402700912606,'202301010029092700913660,COCV_556,9000,2023-01-01 00:33:05.0,SHP,SHP,BO,domico.leidy_m,
3,CO11406239,'202301010116392700956765,'202301010118232700957402,COCV_155,9000,2023-01-01 01:28:45.0,SHP,SHP,BO,rodriguez.cristian_m,
4,CO11406239,'202301010116392700956765,'202301010130082700967383,COCV_262,9000,2023-01-01 13:20:22.0,SHP,SHP,null,null,
5,CO11406244,'202301010138402700974032,'202301010141082700979409,COCV_545,9000,2023-01-01 01:46:30.0,SHP,SHP,null,leon.laura_m,
6,CO11406251,'202301010158402700989659,'202301010201042700995425,COCV_155,9000,2023-01-01 02:05:59.0,SHP,SHP,BO,rodriguez.cristian_m,
7,CO11406257,'202301010223402701010299,'202301010225242701010850,COCV_190,9000,2023-01-02 13:03:18.0,SHP,SHP,null,rodriguez.yudy_m,
8,CO11406264,'202301010321392701045681,'202301010323232701045896,COCV_556,9000,2023-01-01 03:43:28.0,SHP,SHP,null,null,
9,CO11406267,'202301010341412701053046,'202301010343092701053391,COCV_181,9000,2023-01-01 04:03:28.0,SHP,SHP,null,null,
10,CO11406286,'202301010033392700920960,'202301010035222700921622,COCV_378,9000,2023-01-01 00:55:26.0,SHP,SHP,null,null,
11,CO11406290,'202301010051392700938425,'202301010054072700939394,COCV_155,9000,2023-01-01 01:04:05.0,SHP,SHP,BO,rodriguez.cristian_m,
12,CO11406292,'202301010103382700947259,'202301010106012700948186,COCV_556,9000,2023-01-01 01:26:26.0,SHP,SHP,null,null,
13,CO11406297,'202301010133382700972218,'202301010136172700972851,COCV_116,9000,2023-01-03 11:20:41.0,SHP,SHP,null,cardozo.aura_m,
14,CO11406299,'202301010136362700972961,'202301010138182700973792,COCV_545,9000,2023-01-01 01:40:05.0,PICK,PICK,CNCL,leon.laura_m,
15,CO11406299,'202301010136362700972961,'202301010141092700979456,COCV_545,9000,2023-01-01 01:46:07.0,PICK,PICK,CNCL,leon.laura_m,
16,CO11406299,'202301010136362700972961,'202301010147072700981093,COCV_545,9000,2023-01-04 20:33:23.0,PICK,PICK,null,leon.laura_m,
17,CO11406313,'202301010233392701017725,'202301010235212701018307,COCV_381,9000,2023-01-01 12:28:45.0,SHP,SHP,BO,carmona.julieta_m,
18,CO11406324,'202301010336372701050081,'202301010338152701050209,COCV_181,9000,2023-01-01 03:58:28.0,SHP,SHP,null,null,
19,CO11406325,'202301010341412701053059,'202301010343102701053437,COCV_190,9000,2023-01-01 03:45:12.0,SHP,SHP,BO,ulloa.estephany_m,
20,CO11406325,'202301010341412701053059,'202301010347032701054234,COCV_181,9000,2023-01-01 04:07:29.0,SHP,SHP,null,null,
21,CO11406325,'202301010341412701053059,'202301010424232701072336,COCV_381,9000,2023-01-01 12:29:30.0,SHP,SHP,CNCL,carmona.julieta_m,
22,CO11406328,'202301010358402701059246,'202301010401092701062838,COCV_181,9000,2023-01-01 04:21:29.0,SHP,SHP,null,null,
23,CO11406335,'202301010503422701087614,'202301010506062701088051,COCV_411,9000,2023-01-01 07:07:08.0,SHP,SHP,null,arenas.jenny_m,
24,CO11406341,'202301010626412701111415,'202301010628232701111583,COCV_411,9000,2023-01-01 07:21:40.0,SHP,SHP,null,arenas.jenny_m,
25,CO11406374,'202301011421342703389478,'202301011422592703390207,COCV_155,9000,2023-01-01 14:41:36.0,SHP,SHP,BO,obando.mayra_m,
26,CO11406383,'202301010651392701119069,'202301010654092701119179,COCV_155,9000,2023-01-01 07:14:27.0,SHP,SHP,null,null,
27,CO11406383,'202301010651392701119069,'202301010717532702517081,COCV_190,9000,2023-01-01 07:38:28.0,SHP,SHP,null,null,
28,CO11406385,'202301010801372702558431,'202301010802592702558594,COCV_101,9000,2023-01-01 12:08:34.0,SHP,SHP,BO,clavijo.kelly_m,
29,CO11406387,'202301010833312702859479,'202301010835232703014515,COCV_155,9000,2023-01-01 08:52:12.0,SHP,SHP,BO,galvis.fernando_m,
